Roll,Pitch,Yaw,Heading,Roll Setpoint,Pitch Setpoint
-0.02679355,-0.11434887,-118.2284,-116.4384,0,0
-0.13594145,-0.26900682,-118.16778,-116.37778,0,0
-0.20539623,-0.3249773,-118.07581,-116.28581,0,0
-0.1873014,-0.107769355,-117.85124,-116.06124,0,0
-0.12986594,-0.02223626,-117.879585,-116.089584,0,0
-0.09181002,-0.07799308,-120.410774,-118.62077,0,0
-0.01185397,-0.13208833,-120.72029,-118.93029,0,0
0.049314216,-0.19290307,-120.98945,-119.19945,0,0
0.06543907,-0.20072122,-121.04688,-119.25688,0,0
-0.027510855,-0.19118482,-121.77394,-119.98394,0,0
-0.095011674,-0.071068875,-121.44915,-119.65915,0,0
-0.087912396,0.034529574,-121.31787,-119.52787,0,0
-0.08068421,-0.06671406,-121.47594,-119.685936,0,0
-0.112441435,-0.26677546,-121.68581,-119.895805,0,0
-0.12697737,-0.37591478,-114.75283,-112.96283,0,0
-0.018904937,-0.17562714,-114.797035,-113.007034,0,0
0.010119364,-0.019363375,-114.67758,-112.88758,0,0
-0.02701524,-0.0077134916,-114.5599,-112.7699,0,0
-0.006446335,-0.1093931,-114.746605,-112.956604,0,0
0.009399009,-0.16167408,-118.17599,-116.38599,0,0
0.04795477,-0.2996971,-118.46712,-116.67712,0,0
0.038757976,-0.34384707,-118.50529,-116.71529,0,0
-0.08370422,-0.19886078,-117.986885,-116.196884,0,0
-0.07474475,0.000682632,-117.738266,-115.948265,0,0
-0.056838665,0.08894095,-120.98645,-119.19645,0,0
-0.05876427,-0.090761915,-121.2682,-119.4782,0,0
-0.027105356,-0.27101022,-121.64545,-119.855446,0,0
-0.018423941,-0.26145822,-121.65291,-119.86291,0,0
0.04258014,-0.17765948,-121.677605,-119.8876,0,0
0.023111382,-0.13436928,-117.147865,-115.357864,0,0
-0.050395805,-0.058305215,-116.83347,-115.04347,1,0
-0.036148008,-0.0015445232,-116.79312,-115.00312,1,0
-0.07503372,-0.109046586,-116.83631,-115.04631,1,0
-0.09147489,-0.33265257,-117.11112,-115.32112,1,0
-0.046474073,-0.34114543,-119.71931,-117.929306,1,0
-0.02112623,-0.09534787,-119.4399,-117.6499,1,0
-0.06835475,-0.017773494,-119.21871,-117.42871,1,0
-0.054804243,-0.06908913,-119.32176,-117.53176,1,0
-0.01332576,-0.12855068,-118.071976,-116.281975,1,0
0.023299916,-0.12565154,-118.16213,-116.37213,1,0
-0.01579939,-0.21591254,-118.185936,-116.395935,1,0
-0.11169471,-0.19856551,-117.91397,-116.12397,1,0
-0.114793375,-0.084041886,-117.749756,-115.959755,1,0
-0.08899343,-0.060633518,-119.15667,-117.36667,10,0
-0.06823109,-0.11602144,-119.287315,-117.497314,10,0
-0.037983228,-0.23357403,-119.531456,-117.741455,10,0
0.0012061397,-0.20951526,-119.59609,-117.80609,10,0
0.00681779,-0.1992987,-119.595604,-117.8056,10,0
0.0037703065,-0.20044334,-118.1879,-116.397896,10,0
0.039185755,-0.1313038,-118.18359,-116.39359,10,0
0.021852806,0.017010307,-117.9329,-116.1429,10,0
-0.04931214,0.0020255595,-117.7685,-115.9785,10,0
-0.06761596,-0.20990674,-118.01389,-116.22389,10,0
-0.12161031,-0.34166145,-121.62571,-119.83571,10,0
-0.066746116,-0.19056147,-121.53044,-119.74044,10,0
0.009400315,-0.12991504,-121.62745,-119.83745,10,0
0.04727863,-0.094868615,-121.66784,-119.87784,10,0
-0.028519131,-0.05888342,-121.4248,-119.634796,10,0
-0.05347537,-0.0924495,-122.18606,-120.39606,10,0
-0.016172545,-0.2607529,-122.57015,-120.78015,10,0
0.00081471197,-0.27038568,-122.63197,-120.84197,10,0
0.037661277,-0.098391555,-122.43812,-120.64812,10,0
0.035793986,-0.031441633,-122.32079,-120.53079,10,0
-0.03176851,-0.03989179,-122.26437,-120.47437,10,0
-0.059715666,-0.16863886,-122.3998,-120.6098,10,0
-0.097397104,-0.2521712,-122.43879,-120.64879,10,0
